responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,CORRELATION
sr2,A14CLZWROI8UCS,survey1,q_337_2,Please say both words aloud. Which one would you say?,51,comp_339_3,probably opinion-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_245_2,Please say both words aloud. Which one would you say?,46,comp_246_3,probably marine-thon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_181_2,Please say both words aloud. Which one would you say?,66,comp_183_3,probably banana-alicious,2,schwa
sr2,A14CLZWROI8UCS,survey1,q_361_2,Please say both words aloud. Which one would you say?,49,comp_363_3,probably nicotine-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_33_2,Please say both words aloud. Which one would you say?,19,comp_33_3,definitely estate-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_265_2,Please say both words aloud. Which one would you say?,17,comp_267_3,probably patrick-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_377_2,Please say both words aloud. Which one would you say?,5,comp_380_3,definitely korea-athon,3,schwa
sr2,A14CLZWROI8UCS,survey1,q_317_2,Please say both words aloud. Which one would you say?,70,comp_319_3,probably coliseum-athon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_57_2,Please say both words aloud. Which one would you say?,15,comp_59_3,probably decade-alicious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_89_2,Please say both words aloud. Which one would you say?,69,comp_91_3,probably hero-alicious,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_189_2,Please say both words aloud. Which one would you say?,54,comp_190_3,probably placebo-licious,1,vowel
sr2,A14CLZWROI8UCS,survey1,q_313_2,Please say both words aloud. Which one would you say?,8,comp_313_3,definitely penicillin-thon,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_37_2,Please say both words aloud. Which one would you say?,29,comp_37_3,definitely grenade-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_209_2,Please say both words aloud. Which one would you say?,77,comp_211_3,probably berlin-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_249_2,Please say both words aloud. Which one would you say?,58,comp_250_3,probably decade-thon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_193_2,Please say both words aloud. Which one would you say?,53,comp_196_3,definitely spaghetti-alicious,3,vowel
sr2,A14CLZWROI8UCS,survey1,q_17_2,Please say both words aloud. Which one would you say?,25,comp_20_3,definitely berlin-alicious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_97_2,Please say both words aloud. Which one would you say?,60,comp_98_3,probably cuba-licious,2,schwa
sr2,A14CLZWROI8UCS,survey1,q_101_2,Please say both words aloud. Which one would you say?,47,comp_103_3,probably drama-alicious,1,schwa
sr2,A14CLZWROI8UCS,survey1,q_237_2,Please say both words aloud. Which one would you say?,20,comp_239_3,probably japan-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_69_2,Please say both words aloud. Which one would you say?,41,comp_70_3,probably office-licious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_325_2,Please say both words aloud. Which one would you say?,31,comp_325_3,definitely detective-thon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_93_2,Please say both words aloud. Which one would you say?,62,comp_93_3,definitely china-licious,3,schwa
sr2,A14CLZWROI8UCS,survey1,q_121_2,Please say both words aloud. Which one would you say?,72,comp_124_3,definitely penicillin-alicious,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_261_2,Please say both words aloud. Which one would you say?,68,comp_264_3,definitely office-athon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_341_2,Please say both words aloud. Which one would you say?,74,comp_344_3,definitely asylum-athon,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_269_2,Please say both words aloud. Which one would you say?,73,comp_272_3,definitely omelet-athon,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_273_2,Please say both words aloud. Which one would you say?,33,comp_276_3,definitely chili-athon,3,vowel
sr2,A14CLZWROI8UCS,survey1,q_213_2,Please say both words aloud. Which one would you say?,7,comp_214_3,probably typhoon-thon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_277_2,Please say both words aloud. Which one would you say?,3,comp_278_3,probably mayo-thon,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_105_2,Please say both words aloud. Which one would you say?,11,comp_108_3,definitely anesthetic-alicious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_145_2,Please say both words aloud. Which one would you say?,56,comp_145_3,definitely opinion-licious,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_109_2,Please say both words aloud. Which one would you say?,45,comp_110_3,probably affidavit-licious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_165_2,Please say both words aloud. Which one would you say?,23,comp_165_3,definitely valentine-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_229_2,Please say both words aloud. Which one would you say?,4,comp_232_3,definitely grenade-athon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_257_2,Please say both words aloud. Which one would you say?,50,comp_259_3,probably magic-athon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_129_2,Please say both words aloud. Which one would you say?,13,comp_129_3,definitely ceramic-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_217_2,Please say both words aloud. Which one would you say?,14,comp_219_3,probably champagne-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,0,
sr2,A14CLZWROI8UCS,survey1,q_309_2,Please say both words aloud. Which one would you say?,30,comp_312_3,definitely meditation-athon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_225_2,Please say both words aloud. Which one would you say?,40,comp_225_3,definitely estate-thon,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_9_2,Please say both words aloud. Which one would you say?,10,comp_9_3,definitely corvette-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_21_2,Please say both words aloud. Which one would you say?,64,comp_22_3,probably typhoon-licious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_301_2,Please say both words aloud. Which one would you say?,43,comp_302_3,probably affidavit-thon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_161_2,Please say both words aloud. Which one would you say?,22,comp_163_3,probably hurricane-alicious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_65_2,Please say both words aloud. Which one would you say?,32,comp_66_3,probably magic-licious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_173_2,Please say both words aloud. Which one would you say?,75,comp_175_3,probably antidote-alicious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_253_2,Please say both words aloud. Which one would you say?,38,comp_255_3,probably secret-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_2_2,What is your age?,0,comp_2_3,18-25,4,
sr2,A14CLZWROI8UCS,survey1,q_357_2,Please say both words aloud. Which one would you say?,71,comp_358_3,probably valentine-thon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_353_2,Please say both words aloud. Which one would you say?,63,comp_353_3,definitely hurricane-thon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_125_2,Please say both words aloud. Which one would you say?,12,comp_128_3,definitely coliseum-alicious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_385_2,Please say both words aloud. Which one would you say?,65,comp_386_3,probably spaghetti-thon,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr3,A2YPGARAKET7N5,survey1,q_381_2,Please say both words aloud. Which one would you say?,89,comp_382_3,probably placebo-thon,1,vowel
sr3,A2YPGARAKET7N5,survey1,q_113_2,Please say both words aloud. Which one would you say?,71,comp_114_3,probably orthodonist-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_369_2,Please say both words aloud. Which one would you say?,81,comp_371_3,probably antenna-athon,1,schwa
sr3,A2YPGARAKET7N5,survey1,q_133_2,Please say both words aloud. Which one would you say?,35,comp_134_3,probably detective-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_389_2,Please say both words aloud. Which one would you say?,27,comp_389_3,definitely miami-thon,0,vowel
sr3,A2YPGARAKET7N5,survey1,q_53_2,Please say both words aloud. Which one would you say?,47,comp_56_3,definitely marine-alicious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_73_2,Please say both words aloud. Which one would you say?,2,comp_74_3,probably patrick-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_201_2,Please say both words aloud. Which one would you say?,44,comp_204_3,definitely corvette-athon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_197_2,Please say both words aloud. Which one would you say?,41,comp_200_3,definitely miami-alicious,0,vowel
sr3,A2YPGARAKET7N5,survey1,q_13_2,Please say both words aloud. Which one would you say?,76,comp_13_3,definitely stampede-licious,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_49_2,Please say both words aloud. Which one would you say?,56,comp_50_3,probably cologne-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_221_2,Please say both words aloud. Which one would you say?,58,comp_222_3,probably cayenne-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_241_2,Please say both words aloud. Which one would you say?,11,comp_241_3,definitely cologne-thon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_45_2,Please say both words aloud. Which one would you say?,86,comp_47_3,probably japan-alicious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_365_2,Please say both words aloud. Which one would you say?,90,comp_367_3,probably antidote-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_-1_-1,good,-1,comp_-1_-1,good,-1,
sr3,A2YPGARAKET7N5,survey1,q_337_2,Please say both words aloud. Which one would you say?,68,comp_338_3,probably opinion-thon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_361_2,Please say both words aloud. Which one would you say?,40,comp_362_3,probably nicotine-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_185_2,Please say both words aloud. Which one would you say?,60,comp_187_3,probably korea-alicious,2,schwa
sr3,A2YPGARAKET7N5,survey1,q_33_2,Please say both words aloud. Which one would you say?,16,comp_34_3,probably estate-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_377_2,Please say both words aloud. Which one would you say?,21,comp_379_3,probably korea-athon,2,schwa
sr3,A2YPGARAKET7N5,survey1,q_317_2,Please say both words aloud. Which one would you say?,51,comp_318_3,probably coliseum-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_209_2,Please say both words aloud. Which one would you say?,50,comp_209_3,definitely berlin-thon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_249_2,Please say both words aloud. Which one would you say?,57,comp_251_3,probably decade-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_193_2,Please say both words aloud. Which one would you say?,46,comp_195_3,probably spaghetti-alicious,2,vowel
sr3,A2YPGARAKET7N5,survey1,q_97_2,Please say both words aloud. Which one would you say?,80,comp_99_3,probably cuba-alicious,1,schwa
sr3,A2YPGARAKET7N5,survey1,q_237_2,Please say both words aloud. Which one would you say?,33,comp_237_3,definitely japan-thon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_93_2,Please say both words aloud. Which one would you say?,70,comp_96_3,definitely china-alicious,3,schwa
sr3,A2YPGARAKET7N5,survey1,q_329_2,Please say both words aloud. Which one would you say?,55,comp_332_3,definitely commandment-athon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_261_2,Please say both words aloud. Which one would you say?,93,comp_262_3,probably office-thon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_341_2,Please say both words aloud. Which one would you say?,48,comp_342_3,probably asylum-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_269_2,Please say both words aloud. Which one would you say?,14,comp_271_3,probably omelet-athon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_273_2,Please say both words aloud. Which one would you say?,63,comp_274_3,probably chili-thon,2,vowel
sr3,A2YPGARAKET7N5,survey1,q_277_2,Please say both words aloud. Which one would you say?,64,comp_279_3,probably mayo-athon,2,vowel
sr3,A2YPGARAKET7N5,survey1,q_105_2,Please say both words aloud. Which one would you say?,92,comp_106_3,probably anesthetic-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_145_2,Please say both words aloud. Which one would you say?,32,comp_145_3,definitely opinion-licious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_165_2,Please say both words aloud. Which one would you say?,5,comp_166_3,probably valentine-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_257_2,Please say both words aloud. Which one would you say?,12,comp_258_3,probably magic-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_217_2,Please say both words aloud. Which one would you say?,49,comp_219_3,probably champagne-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_309_2,Please say both words aloud. Which one would you say?,53,comp_311_3,probably meditation-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_177_2,Please say both words aloud. Which one would you say?,94,comp_180_3,definitely antenna-alicious,3,schwa
sr3,A2YPGARAKET7N5,survey1,q_169_2,Please say both words aloud. Which one would you say?,29,comp_170_3,probably nicotine-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_301_2,Please say both words aloud. Which one would you say?,69,comp_302_3,probably affidavit-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_25_2,Please say both words aloud. Which one would you say?,31,comp_27_3,probably champagne-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_161_2,Please say both words aloud. Which one would you say?,52,comp_161_3,definitely hurricane-licious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_65_2,Please say both words aloud. Which one would you say?,3,comp_68_3,definitely magic-alicious,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_321_2,Please say both words aloud. Which one would you say?,36,comp_323_3,probably ceramic-athon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_357_2,Please say both words aloud. Which one would you say?,10,comp_359_3,probably valentine-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_353_2,Please say both words aloud. Which one would you say?,26,comp_354_3,probably hurricane-thon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_125_2,Please say both words aloud. Which one would you say?,37,comp_126_3,probably coliseum-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_77_2,Please say both words aloud. Which one would you say?,75,comp_78_3,probably omelet-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_289_2,Please say both words aloud. Which one would you say?,97,comp_291_3,probably cuba-athon,2,schwa
sr3,A2YPGARAKET7N5,survey1,q_153_2,Please say both words aloud. Which one would you say?,9,comp_154_3,probably silverware-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_157_2,Please say both words aloud. Which one would you say?,24,comp_160_3,definitely universe-alicious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_285_2,Please say both words aloud. Which one would you say?,95,comp_287_3,probably china-athon,2,schwa
sr3,A2YPGARAKET7N5,survey1,q_137_2,Please say both words aloud. Which one would you say?,28,comp_140_3,definitely commandment-alicious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_81_2,Please say both words aloud. Which one would you say?,73,comp_81_3,definitely chili-licious,3,vowel
sr3,A2YPGARAKET7N5,survey1,q_333_2,Please say both words aloud. Which one would you say?,59,comp_335_3,probably eleven-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_281_2,Please say both words aloud. Which one would you say?,54,comp_282_3,probably hero-thon,2,vowel
sr3,A2YPGARAKET7N5,survey1,q_85_2,Please say both words aloud. Which one would you say?,78,comp_86_3,probably mayo-licious,1,vowel
sr3,A2YPGARAKET7N5,survey1,q_117_2,Please say both words aloud. Which one would you say?,84,comp_120_3,definitely meditation-alicious,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_349_2,Please say both words aloud. Which one would you say?,74,comp_349_3,definitely universe-thon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_141_2,Please say both words aloud. Which one would you say?,39,comp_143_3,probably eleven-alicious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_149_2,Please say both words aloud. Which one would you say?,13,comp_150_3,probably asylum-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_373_2,Please say both words aloud. Which one would you say?,72,comp_374_3,probably banana-thon,1,schwa
sr3,A2YPGARAKET7N5,survey1,q_245_2,Please say both words aloud. Which one would you say?,66,comp_245_3,definitely marine-thon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_181_2,Please say both words aloud. Which one would you say?,82,comp_183_3,probably banana-alicious,1,schwa
sr3,A2YPGARAKET7N5,survey1,q_345_2,Please say both words aloud. Which one would you say?,61,comp_348_3,definitely silverware-athon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_265_2,Please say both words aloud. Which one would you say?,87,comp_265_3,definitely patrick-thon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_205_2,Please say both words aloud. Which one would you say?,17,comp_207_3,probably stampede-athon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_57_2,Please say both words aloud. Which one would you say?,85,comp_59_3,probably decade-alicious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_89_2,Please say both words aloud. Which one would you say?,96,comp_90_3,probably hero-licious,1,vowel
sr3,A2YPGARAKET7N5,survey1,q_189_2,Please say both words aloud. Which one would you say?,43,comp_190_3,probably placebo-licious,2,vowel
sr3,A2YPGARAKET7N5,survey1,q_313_2,Please say both words aloud. Which one would you say?,67,comp_316_3,definitely penicillin-athon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_37_2,Please say both words aloud. Which one would you say?,45,comp_38_3,probably grenade-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_17_2,Please say both words aloud. Which one would you say?,19,comp_19_3,probably berlin-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_101_2,Please say both words aloud. Which one would you say?,20,comp_102_3,probably drama-licious,2,schwa
sr3,A2YPGARAKET7N5,survey1,q_69_2,Please say both words aloud. Which one would you say?,42,comp_70_3,probably office-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_325_2,Please say both words aloud. Which one would you say?,88,comp_328_3,definitely detective-athon,0,consonant
sr3,A2YPGARAKET7N5,survey1,q_121_2,Please say both words aloud. Which one would you say?,77,comp_122_3,probably penicillin-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_213_2,Please say both words aloud. Which one would you say?,7,comp_214_3,probably typhoon-thon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_233_2,Please say both words aloud. Which one would you say?,4,comp_234_3,probably balloon-thon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_41_2,Please say both words aloud. Which one would you say?,62,comp_42_3,probably balloon-licious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_109_2,Please say both words aloud. Which one would you say?,8,comp_111_3,probably affidavit-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_229_2,Please say both words aloud. Which one would you say?,18,comp_231_3,probably grenade-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_129_2,Please say both words aloud. Which one would you say?,23,comp_131_3,probably ceramic-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,0,
sr3,A2YPGARAKET7N5,survey1,q_29_2,Please say both words aloud. Which one would you say?,65,comp_31_3,probably cayenne-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_297_2,Please say both words aloud. Which one would you say?,38,comp_300_3,definitely anesthetic-athon,3,consonant
sr3,A2YPGARAKET7N5,survey1,q_225_2,Please say both words aloud. Which one would you say?,22,comp_227_3,probably estate-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_9_2,Please say both words aloud. Which one would you say?,25,comp_11_3,probably corvette-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_21_2,Please say both words aloud. Which one would you say?,34,comp_22_3,probably typhoon-licious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_61_2,Please say both words aloud. Which one would you say?,83,comp_63_3,probably secret-alicious,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_293_2,Please say both words aloud. Which one would you say?,79,comp_296_3,definitely drama-athon,3,schwa
sr3,A2YPGARAKET7N5,survey1,q_305_2,Please say both words aloud. Which one would you say?,6,comp_307_3,probably orthodonist-athon,1,consonant
sr3,A2YPGARAKET7N5,survey1,q_173_2,Please say both words aloud. Which one would you say?,91,comp_175_3,probably antidote-alicious,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_253_2,Please say both words aloud. Which one would you say?,30,comp_254_3,probably secret-thon,2,consonant
sr3,A2YPGARAKET7N5,survey1,q_2_2,What is your age?,1,comp_2_3,18-25,0,
sr3,A2YPGARAKET7N5,survey1,q_385_2,Please say both words aloud. Which one would you say?,15,comp_385_3,definitely spaghetti-thon,0,vowel
sr3,A2YPGARAKET7N5,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr4,A3S7JKTYDFADOJ,survey1,q_381_2,Please say both words aloud. Which one would you say?,61,comp_384_3,definitely placebo-athon,0,vowel
sr4,A3S7JKTYDFADOJ,survey1,q_113_2,Please say both words aloud. Which one would you say?,12,comp_114_3,probably orthodonist-licious,1,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_369_2,Please say both words aloud. Which one would you say?,49,comp_369_3,definitely antenna-thon,0,schwa
sr4,A3S7JKTYDFADOJ,survey1,q_389_2,Please say both words aloud. Which one would you say?,79,comp_389_3,definitely miami-thon,0,vowel
sr4,A3S7JKTYDFADOJ,survey1,q_73_2,Please say both words aloud. Which one would you say?,28,comp_76_3,definitely patrick-alicious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_185_2,Please say both words aloud. Which one would you say?,34,comp_188_3,definitely korea-alicious,0,schwa
sr4,A3S7JKTYDFADOJ,survey1,q_33_2,Please say both words aloud. Which one would you say?,24,comp_33_3,definitely estate-licious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_209_2,Please say both words aloud. Which one would you say?,19,comp_210_3,probably berlin-thon,2,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_249_2,Please say both words aloud. Which one would you say?,48,comp_249_3,definitely decade-thon,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_193_2,Please say both words aloud. Which one would you say?,86,comp_196_3,definitely spaghetti-alicious,0,vowel
sr4,A3S7JKTYDFADOJ,survey1,q_97_2,Please say both words aloud. Which one would you say?,42,comp_100_3,definitely cuba-alicious,0,schwa
sr4,A3S7JKTYDFADOJ,survey1,q_93_2,Please say both words aloud. Which one would you say?,73,comp_93_3,definitely china-licious,0,schwa
sr4,A3S7JKTYDFADOJ,survey1,q_329_2,Please say both words aloud. Which one would you say?,51,comp_332_3,definitely commandment-athon,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_341_2,Please say both words aloud. Which one would you say?,85,comp_344_3,definitely asylum-athon,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_273_2,Please say both words aloud. Which one would you say?,89,comp_273_3,definitely chili-thon,0,vowel
sr4,A3S7JKTYDFADOJ,survey1,q_277_2,Please say both words aloud. Which one would you say?,22,comp_279_3,probably mayo-athon,2,vowel
sr4,A3S7JKTYDFADOJ,survey1,q_105_2,Please say both words aloud. Which one would you say?,96,comp_108_3,definitely anesthetic-alicious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_145_2,Please say both words aloud. Which one would you say?,27,comp_145_3,definitely opinion-licious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_165_2,Please say both words aloud. Which one would you say?,57,comp_165_3,definitely valentine-licious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_257_2,Please say both words aloud. Which one would you say?,16,comp_258_3,probably magic-thon,2,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_217_2,Please say both words aloud. Which one would you say?,10,comp_220_3,definitely champagne-athon,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_169_2,Please say both words aloud. Which one would you say?,2,comp_169_3,definitely nicotine-licious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_25_2,Please say both words aloud. Which one would you say?,91,comp_25_3,definitely champagne-licious,0,consonant
sr4,A3S7JKTYDFADOJ,survey1,q_161_2,Please say both words aloud. Which one would you say?,53,comp_164_3,definitely hurricane-alicious,0,consonant
